method,model,scenario,metric,value
mean_mode,extra_trees,internal_test,AUPRC,0.6491042599791975
mean_mode,extra_trees,external_main,AUPRC,0.4624099307403542
mean_mode,extra_trees,external_transfer,AUPRC,0.4624099307403542
mean_mode,gb,internal_train,AUPRC,0.7301543894136199
mean_mode,gb,internal_val,AUPRC,0.6323996960052489
mean_mode,gb,internal_test,AUPRC,0.6535960989544873
mean_mode,gb,external_main,AUPRC,0.4413164473014714
mean_mode,gb,external_transfer,AUPRC,0.4413164473014714
mean_mode,adaboost,internal_train,AUPRC,0.655771796156013
mean_mode,adaboost,internal_val,AUPRC,0.6246765519018782
mean_mode,adaboost,internal_test,AUPRC,0.6540274581249792
mean_mode,adaboost,external_main,AUPRC,0.4659100167252739
mean_mode,adaboost,external_transfer,AUPRC,0.4659100167252739
mean_mode,lgb,internal_train,AUPRC,0.992937676224871
mean_mode,lgb,internal_val,AUPRC,0.6282668561272297
mean_mode,lgb,internal_test,AUPRC,0.6347561526331703
mean_mode,lgb,external_main,AUPRC,0.4373367023562488
mean_mode,lgb,external_transfer,AUPRC,0.4373367023562488
mean_mode,xgb,internal_train,AUPRC,0.9068054459850936
mean_mode,xgb,internal_val,AUPRC,0.6211185029025811
mean_mode,xgb,internal_test,AUPRC,0.6336439870427787
mean_mode,xgb,external_main,AUPRC,0.430520841765428
mean_mode,xgb,external_transfer,AUPRC,0.430520841765428
